G_NUMBER	DATE_ISOLATION	COUNTRY_ISOLATION	Region	ClonalComplex
G37695	1995-01-01 00:00:00.000	USA	Northern America	unk6
G37697	1996-01-01 00:00:00.000	USA	Northern America	eu2
G37698	1996-01-01 00:00:00.000	USA	Northern America	eu2
G37700	1997-01-01 00:00:00.000	USA	Northern America	unk6
G37701	1997-01-01 00:00:00.000	USA	Northern America	eu1
G37709	1999-01-01 00:00:00.000	USA	Northern America	eu2
G37784		USA	Northern America	eu1
G37788		USA	Northern America	unk2
G38449	2013-07-01 00:00:00.000	Panama	Central America	eu1
G38453	2013-07-01 00:00:00.000	Panama	Central America	eu1
G38455	2010-11-30 00:00:00.000	France	Western Europe	unk2
G38456	2011-04-08 00:00:00.000	France	Western Europe	unk7
G38457	2012-09-11 00:00:00.000	Brazil	South America	eu2
G38462	2016-01-01 00:00:00.000	Italy	Southern Europe	unk2
G38463	2016-01-01 00:00:00.000	Italy	Southern Europe	unk2
G41169		Mexico	Central America	eu1
G41174		Mexico	Central America	eu1
G41192		Mexico	Central America	eu2
G41194		Mexico	Central America	eu2
G41203		Mexico	Central America	eu1
G41205		Mexico	Central America	eu1
G41206		Mexico	Central America	eu1
G41207		Mexico	Central America	eu1
G41208		Mexico	Central America	eu2
G41211		Mexico	Central America	eu1
G41212		Mexico	Central America	eu2
G41213		Mexico	Central America	eu1
G41217		Mexico	Central America	eu1
G41218		Mexico	Central America	eu1
G41227		Mexico	Central America	eu1
G41237		Mexico	Central America	eu1
G41246		Mexico	Central America	eu1
G41251		Mexico	Central America	eu1
G41253		Mexico	Central America	eu1
G41255		Mexico	Central America	eu2
G41256		Mexico	Central America	eu2
G41258		Mexico	Central America	eu1
G41288		Mexico	Central America	eu1
G41294		Mexico	Central America	eu2
G41295		Mexico	Central America	eu2
G41297		Mexico	Central America	eu1
G41312		Mexico	Central America	eu1
G41315		Mexico	Central America	eu1
G41316		Mexico	Central America	eu2
G41325		Mexico	Central America	eu1
G41327		Mexico	Central America	eu2
G41332		Mexico	Central America	eu2
G41334		Mexico	Central America	eu1
G41338		Mexico	Central America	eu1
G41342		Mexico	Central America	eu1
G41350		Mexico	Central America	eu1
G41356		Mexico	Central America	eu1
G41366		Mexico	Central America	eu1
G41387		Mexico	Central America	eu1
G41393		Mexico	Central America	eu1
G41394		Mexico	Central America	eu1
G41407		Mexico	Central America	eu2
G41408		Mexico	Central America	eu2
G41412		Mexico	Central America	eu1
G41413		Mexico	Central America	eu1
G41417		Mexico	Central America	eu1
G41420		Mexico	Central America	eu1
G41439		Mexico	Central America	eu1
G41441		Mexico	Central America	eu2
G41443		Mexico	Central America	eu2
G41450		Mexico	Central America	eu2
